timestamp,customer_id,assignment,stratum,internet_service,contract_type
2026-02-28T18:06:42.355080,CUST_0001,1,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.362795,CUST_0002,0,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.370855,CUST_0003,0,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.372539,CUST_0004,1,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.374247,CUST_0005,3,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.376419,CUST_0006,2,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.377567,CUST_0007,0,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.378221,CUST_0008,3,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.378815,CUST_0009,0,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.379381,CUST_0010,2,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.380067,CUST_0011,0,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.380765,CUST_0012,3,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.381415,CUST_0013,0,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.383216,CUST_0014,2,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.384406,CUST_0015,1,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.386305,CUST_0016,2,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.388729,CUST_0017,1,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.390739,CUST_0018,1,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.391605,CUST_0019,0,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.392621,CUST_0020,3,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.393327,CUST_0021,0,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.396223,CUST_0022,3,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.397567,CUST_0023,2,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.398463,CUST_0024,3,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.399074,CUST_0025,1,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.403074,CUST_0026,1,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.405334,CUST_0027,3,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.406100,CUST_0028,2,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.406737,CUST_0029,2,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.407314,CUST_0030,1,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.407869,CUST_0031,1,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.408475,CUST_0032,2,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.409006,CUST_0033,0,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.409549,CUST_0034,0,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.410062,CUST_0035,3,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.411374,CUST_0036,1,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.412282,CUST_0037,2,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.418398,CUST_0038,0,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.421549,CUST_0039,3,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.424542,CUST_0040,1,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.426175,CUST_0041,0,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.427823,CUST_0042,2,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.436190,CUST_0043,2,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.439443,CUST_0044,1,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.442079,CUST_0045,2,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.444614,CUST_0046,1,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.447683,CUST_0047,3,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.450928,CUST_0048,0,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.453086,CUST_0049,2,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.454814,CUST_0050,1,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.467450,CUST_0051,2,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.474974,CUST_0052,1,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.479365,CUST_0053,0,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.481539,CUST_0054,3,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.488543,CUST_0055,3,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.490364,CUST_0056,2,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.491720,CUST_0057,0,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.492488,CUST_0058,3,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.493114,CUST_0059,3,Fiber_Contract,Fiber,Contract
2026-02-28T18:06:42.493835,CUST_0060,3,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.496157,CUST_0061,3,DSL_Contract,DSL,Contract
2026-02-28T18:06:42.498239,CUST_0062,3,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.499604,CUST_0063,1,Fiber_MTM,Fiber,MTM
2026-02-28T18:06:42.500543,CUST_0064,2,DSL_MTM,DSL,MTM
2026-02-28T18:06:42.501154,CUST_0065,3,Fiber_MTM,Fiber,MTM
