timestamp,customer_id,assignment,stratum,internet_service,contract_type
2026-02-27T13:39:00.108444,CUST_0001,1,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.114689,CUST_0002,0,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.117890,CUST_0003,0,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.119239,CUST_0004,1,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.121641,CUST_0005,3,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.123798,CUST_0006,2,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.125313,CUST_0007,0,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.125989,CUST_0008,3,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.127280,CUST_0009,0,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.128469,CUST_0010,2,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.129313,CUST_0011,0,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.130046,CUST_0012,3,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.131355,CUST_0013,0,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.133130,CUST_0014,2,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.134914,CUST_0015,1,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.136576,CUST_0016,2,Fiber_MTM,Fiber,MTM
2026-02-27T13:39:00.137613,CUST_0017,1,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.138676,CUST_0018,1,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.139554,CUST_0019,0,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.140267,CUST_0020,3,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.141529,CUST_0021,0,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.142707,CUST_0022,3,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.143492,CUST_0023,2,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.145465,CUST_0024,3,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.146654,CUST_0025,1,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.147590,CUST_0026,1,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.148595,CUST_0027,3,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.149260,CUST_0028,2,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.149787,CUST_0029,2,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.150390,CUST_0030,1,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.151015,CUST_0031,1,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.152384,CUST_0032,2,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.154395,CUST_0033,0,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.156184,CUST_0034,0,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.158209,CUST_0035,3,Fiber_Contract,Fiber,Contract
2026-02-27T13:39:00.159334,CUST_0036,1,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.160853,CUST_0037,2,DSL_Contract,DSL,Contract
2026-02-27T13:39:00.162809,CUST_0038,0,DSL_MTM,DSL,MTM
2026-02-27T13:39:00.164403,CUST_0039,3,Fiber_MTM,Fiber,MTM
